order_id,customer_age,order_value,product_category,discount_percent,used_coupon,product_rating,past_purchase_count,past_return_rate,delivery_delay_days,payment_method,shipping_method,device_type,session_length_minutes,num_product_views,returned
4088,50,516.99,beauty,39.99,0,4.66,6,0.1105,1,card,standard,tablet,6.38,2,0
6917,35,2620.07,electronics,25.31,0,4.92,5,0.0451,0,upi,standard,mobile,17.94,5,0
62123,37,820.74,home,32.18,0,4.09,9,0.3162,1,cod,express,tablet,6.03,0,1
41374,29,1371.17,sports,19.94,0,3.17,10,0.4529,0,cod,express,mobile,31.37,4,1
36982,23,491.75,beauty,18.5,1,4.43,9,0.142,0,card,express,desktop,38.17,3,0
18710,43,1585.03,sports,19.1,0,3.57,12,0.4051,4,wallet,standard,mobile,15.47,3,1
52898,46,3987.53,electronics,39.5,0,3.53,11,0.1652,0,cod,standard,mobile,11.72,2,0
28128,32,1265.71,electronics,10.03,1,2.88,9,0.0885,3,upi,standard,mobile,7.18,2,0
9919,29,249.25,apparel,33.97,1,3.51,7,0.0993,1,netbanking,standard,mobile,19.01,4,0
10119,29,748.97,home,24.5,0,2.9,6,0.0751,2,cod,standard,desktop,7.61,1,0
1697,49,820.12,apparel,45.91,1,4.53,6,0.1846,1,upi,standard,mobile,24.13,4,0
50601,57,2995.02,sports,22.99,0,4.03,15,0.3713,1,upi,standard,mobile,8.16,2,1
29167,23,203.08,apparel,20.37,0,3.61,11,0.1693,1,cod,express,desktop,4.71,0,0
32279,29,691.1,sports,20.08,0,4.46,12,0.4491,1,cod,standard,desktop,6.84,0,0
12270,26,462.85,apparel,29.71,0,3.65,7,0.1533,0,upi,standard,desktop,12.75,2,0
70017,39,2334.69,sports,12.48,0,4.5,9,0.3335,0,card,standard,desktop,21.96,4,0
17052,51,4381.56,electronics,21.2,0,3.0,4,0.1803,0,wallet,express,mobile,7.15,2,0
59652,32,615.78,beauty,45.33,1,4.45,3,0.1628,2,card,standard,mobile,33.15,6,0
56075,51,536.6,apparel,56.05,0,1.91,8,0.0718,0,card,express,mobile,10.51,0,0
37446,41,2129.68,sports,6.39,0,3.23,5,0.1875,2,wallet,standard,desktop,11.29,1,0
64263,42,5446.49,electronics,19.33,0,4.58,13,0.5408,0,card,standard,mobile,5.24,0,0
2914,40,782.7,beauty,3.51,1,3.89,3,0.2596,1,card,standard,desktop,4.17,2,0
47330,50,6284.9,electronics,13.01,1,2.9,7,0.3295,1,cod,standard,mobile,14.36,4,0
76267,53,1886.99,home,6.45,1,4.49,5,0.2584,0,wallet,express,desktop,7.2,1,0
9404,45,1065.75,home,13.33,0,3.68,8,0.4044,1,cod,express,desktop,8.09,2,1
35442,42,317.31,apparel,28.62,0,3.17,11,0.2212,1,upi,standard,desktop,10.33,1,1
57671,37,518.65,toys,10.11,0,3.09,7,0.3077,2,cod,standard,desktop,18.84,4,0
29396,35,1784.53,sports,21.69,1,2.42,8,0.0698,5,wallet,standard,mobile,5.13,1,0
57433,41,2214.01,sports,23.51,0,3.01,6,0.2837,1,upi,express,mobile,4.48,1,0
39201,43,638.74,apparel,33.67,1,4.03,5,0.2437,1,netbanking,express,mobile,24.64,5,1
14024,22,2425.42,electronics,13.78,0,3.94,8,0.0553,2,netbanking,standard,tablet,2.51,2,0
49541,26,991.3,home,40.63,0,4.45,9,0.4343,2,card,standard,desktop,5.02,0,1
34879,30,1533.58,electronics,27.57,1,3.52,7,0.4328,0,wallet,express,mobile,4.17,1,1
64393,49,792.84,apparel,30.84,0,4.09,6,0.0602,3,netbanking,standard,mobile,2.13,0,0
1530,27,3109.8,electronics,33.06,0,4.36,9,0.0944,0,netbanking,express,mobile,3.9,2,0
78022,33,865.07,home,48.12,1,4.26,7,0.3452,0,upi,express,mobile,7.44,2,1
31079,35,961.61,beauty,22.59,1,1.99,13,0.1392,2,wallet,standard,desktop,20.34,1,0
30530,26,402.12,apparel,14.61,0,4.78,8,0.1798,1,cod,standard,desktop,4.37,0,0
19598,41,403.77,apparel,3.76,0,3.97,6,0.1402,0,upi,express,mobile,28.57,3,0
60237,57,1487.2,sports,27.2,0,4.16,6,0.4443,0,cod,standard,desktop,6.22,2,1
26553,57,1071.58,toys,28.83,0,3.49,9,0.1667,1,upi,standard,mobile,3.19,0,0
4080,32,728.77,home,26.46,1,3.15,6,0.1974,1,wallet,express,mobile,6.48,2,1
43440,56,6878.76,electronics,17.25,1,3.83,6,0.4496,1,card,express,mobile,9.4,4,0
5565,46,177.98,toys,15.11,0,4.61,10,0.1592,2,cod,express,mobile,6.64,0,0
62182,38,757.99,beauty,26.72,0,4.38,3,0.0979,1,cod,standard,mobile,37.97,9,0
2606,36,448.52,apparel,12.84,0,3.56,11,0.1091,0,card,express,mobile,9.34,3,0
38143,53,6184.33,electronics,24.15,1,3.56,11,0.2654,1,wallet,standard,desktop,7.67,0,0
27629,49,873.74,home,12.63,0,3.54,9,0.4222,4,netbanking,standard,mobile,15.18,5,1
71091,53,454.71,beauty,15.41,0,4.7,9,0.275,1,cod,express,mobile,21.15,4,0
68116,25,8488.39,electronics,19.31,0,3.02,11,0.3208,3,netbanking,express,mobile,8.74,3,0
14403,37,774.93,sports,37.5,0,4.2,3,0.3771,1,upi,standard,mobile,9.71,3,1
65325,19,477.67,sports,20.21,1,3.99,7,0.2047,2,cod,standard,desktop,10.76,1,1
79910,30,528.08,apparel,46.32,1,4.18,3,0.0423,3,card,express,desktop,13.77,3,0
63827,38,2139.93,home,12.09,0,3.36,6,0.2032,0,cod,express,mobile,4.61,0,0
79434,30,588.17,beauty,9.03,1,4.02,8,0.4294,0,upi,standard,tablet,18.29,1,0
9339,40,1949.75,home,12.66,0,4.11,10,0.2566,1,cod,express,tablet,34.63,7,0
68430,27,660.46,beauty,34.53,1,4.13,9,0.3642,1,upi,standard,tablet,8.59,1,1
21732,32,1370.51,sports,15.58,0,2.78,5,0.1365,2,upi,standard,desktop,3.38,0,0
36962,46,844.35,home,38.59,1,3.79,4,0.1756,1,netbanking,standard,mobile,8.63,4,0
40085,35,8268.96,electronics,2.83,0,4.22,8,0.048,1,upi,standard,desktop,5.48,1,0
10575,38,1218.24,sports,4.17,1,3.19,8,0.202,0,wallet,express,tablet,16.3,5,0
22231,37,1684.55,sports,8.14,0,4.45,9,0.0601,3,upi,standard,mobile,17.14,2,0
17241,40,774.46,apparel,1.42,0,4.09,7,0.2727,1,upi,express,tablet,14.33,2,0
34430,46,1277.71,apparel,18.03,1,2.7,3,0.1669,1,card,standard,mobile,4.73,1,0
59349,38,979.56,sports,26.78,1,4.74,11,0.4178,0,cod,express,mobile,8.28,1,1
14967,19,598.89,sports,22.61,0,4.07,9,0.0331,1,upi,standard,mobile,16.8,2,0
61068,24,4400.36,electronics,53.27,1,4.46,11,0.1802,2,cod,standard,tablet,13.63,2,1
2503,53,153.32,toys,9.98,0,4.54,9,0.1527,3,upi,standard,desktop,12.0,1,0
15258,34,501.0,apparel,21.83,0,3.42,5,0.1828,0,netbanking,express,mobile,8.54,1,0
61092,50,2075.53,home,7.47,0,3.38,10,0.2237,2,cod,standard,desktop,5.31,1,1
25470,36,383.27,sports,3.7,0,3.75,5,0.1655,3,card,standard,mobile,25.58,6,0
20570,38,1134.93,toys,9.42,0,3.9,9,0.229,0,cod,standard,desktop,22.24,4,0
56823,37,1858.62,beauty,23.64,0,3.56,7,0.2348,0,cod,standard,desktop,13.65,3,1
27156,53,1321.97,sports,24.31,0,4.43,16,0.0284,0,cod,standard,tablet,31.63,4,0
9725,39,1109.32,beauty,15.8,0,3.63,8,0.3257,2,upi,standard,mobile,4.15,1,1
51251,49,371.8,apparel,6.14,0,4.25,8,0.1567,1,card,express,mobile,4.03,1,0
28076,59,8332.31,electronics,4.64,1,4.0,3,0.1263,1,upi,standard,mobile,7.3,0,0
61091,50,206.68,apparel,4.98,0,2.9,6,0.1892,0,upi,standard,desktop,10.66,1,0
29625,30,5544.51,electronics,23.99,0,4.44,8,0.2054,1,upi,express,mobile,6.79,0,0
56304,25,486.08,apparel,23.02,1,4.41,8,0.407,1,cod,standard,desktop,5.24,1,0
69392,41,443.16,apparel,22.15,0,4.26,6,0.3095,0,wallet,express,mobile,7.73,2,0
28099,30,1029.68,sports,30.75,0,2.72,6,0.0728,1,wallet,standard,desktop,11.43,2,0
42821,48,1737.05,electronics,25.8,1,4.04,7,0.0992,1,card,standard,mobile,10.45,2,0
66970,44,1024.18,apparel,48.64,1,3.94,8,0.1016,2,netbanking,standard,mobile,13.15,1,1
43107,18,384.52,apparel,19.1,1,3.94,6,0.2224,0,upi,standard,mobile,12.39,2,0
51756,51,509.82,sports,1.56,0,2.72,10,0.3435,3,card,standard,mobile,9.88,1,1
62430,25,478.96,apparel,22.5,1,4.21,7,0.2196,0,upi,express,mobile,14.49,3,0
41813,39,2973.02,electronics,5.27,1,4.34,5,0.2022,1,cod,express,mobile,11.07,3,0
63692,44,836.83,home,45.07,0,4.06,8,0.2117,2,netbanking,standard,mobile,5.01,1,0
54358,45,438.5,apparel,6.2,0,3.63,3,0.5501,0,upi,standard,mobile,13.24,1,1
20145,34,598.59,apparel,25.95,1,3.03,8,0.3056,0,card,express,tablet,7.14,1,0
46615,39,1229.53,sports,3.31,1,3.77,12,0.054,1,card,standard,mobile,7.15,2,0
60982,33,449.17,toys,14.18,0,4.09,11,0.2274,0,upi,express,mobile,6.13,1,0
18830,44,5852.45,electronics,20.78,0,4.0,9,0.2005,0,upi,standard,desktop,11.51,0,0
20500,19,5668.92,electronics,30.51,0,3.39,13,0.0926,1,cod,standard,desktop,2.82,1,0
25692,46,7485.05,electronics,26.6,0,3.48,8,0.1024,0,upi,express,mobile,9.87,4,0
56465,51,1942.66,sports,27.74,1,4.25,5,0.1692,1,card,standard,mobile,6.5,0,0
52229,35,1973.59,sports,45.9,0,4.55,9,0.0704,1,wallet,express,mobile,7.48,0,0
70128,47,2854.25,electronics,16.95,0,3.07,5,0.2924,1,wallet,standard,mobile,14.3,3,0
47748,44,4290.68,electronics,27.17,0,3.92,7,0.6364,3,upi,standard,desktop,13.46,1,1
53692,25,3649.19,electronics,22.62,1,4.51,6,0.1788,0,card,standard,mobile,15.07,1,0
71068,35,3019.81,electronics,23.2,0,4.25,6,0.2118,0,netbanking,express,desktop,9.23,1,0
77775,53,718.83,beauty,27.46,1,4.5,9,0.0952,2,netbanking,standard,mobile,2.93,1,0
76429,47,243.38,toys,20.47,1,3.89,5,0.0176,1,card,express,mobile,2.77,0,0
18608,60,473.13,beauty,37.4,0,3.83,8,0.0884,0,upi,express,tablet,18.13,3,0
29336,34,1245.62,sports,46.84,1,3.86,11,0.1733,0,cod,standard,desktop,4.23,0,1
57295,28,4461.16,home,23.89,0,4.3,2,0.106,0,upi,express,mobile,9.36,1,0
35165,27,1124.36,beauty,15.12,1,4.68,4,0.0132,4,card,standard,mobile,28.2,3,0
60043,45,717.97,sports,3.87,0,4.46,4,0.2932,0,wallet,standard,desktop,11.59,1,0
40177,26,1878.19,sports,17.05,1,3.07,9,0.5257,3,upi,standard,desktop,6.85,1,0
40779,27,440.97,beauty,1.73,0,3.45,10,0.1456,0,card,express,mobile,17.5,6,0
8773,30,1066.78,beauty,24.91,0,3.96,10,0.3292,1,card,standard,mobile,7.81,2,0
49790,55,994.31,sports,13.75,1,2.77,6,0.2391,0,upi,standard,mobile,12.22,0,0
41790,24,515.53,apparel,23.63,0,4.27,6,0.1558,0,upi,express,mobile,16.26,3,0
67321,63,1340.73,beauty,10.3,0,4.05,13,0.0749,0,upi,express,tablet,7.78,1,0
69759,43,5042.16,electronics,16.47,0,3.34,12,0.2264,2,card,standard,desktop,9.39,1,0
79390,19,1273.28,sports,38.38,1,4.62,11,0.2602,2,card,standard,mobile,6.66,2,0
56900,36,1275.84,sports,22.03,0,4.56,6,0.3622,0,card,express,mobile,12.88,2,1
72657,31,7416.95,electronics,15.78,1,3.89,7,0.0998,1,card,express,desktop,12.2,0,0
12311,40,212.82,toys,40.18,0,4.61,7,0.1881,0,wallet,express,mobile,37.11,8,0
60166,47,450.35,apparel,17.99,0,2.91,14,0.6068,2,card,standard,desktop,11.27,2,1
39156,52,1142.71,home,7.35,0,3.23,7,0.0751,1,card,standard,mobile,13.45,6,0
53676,21,981.96,home,16.18,0,4.55,5,0.0083,1,wallet,standard,mobile,8.31,0,0
3404,39,602.38,toys,15.7,1,2.6,6,0.4626,0,upi,standard,desktop,8.46,3,1
14255,18,472.04,toys,10.74,1,3.81,10,0.3521,0,card,express,desktop,14.29,3,0
11669,36,2188.81,home,18.41,0,3.76,6,0.3033,1,upi,standard,mobile,15.65,1,1
45428,25,776.54,apparel,22.59,0,4.78,7,0.2761,0,card,express,desktop,15.33,4,0
65502,33,4698.06,electronics,16.07,0,3.95,5,0.1419,0,netbanking,express,mobile,9.67,1,0
74036,50,3037.26,electronics,24.57,1,3.3,8,0.3944,0,cod,express,mobile,10.75,0,1
34492,46,5666.91,electronics,6.6,0,3.06,6,0.1642,1,wallet,standard,desktop,8.25,1,0
8182,39,795.83,sports,24.05,0,4.08,6,0.1963,1,wallet,express,mobile,40.32,5,0
17371,46,1806.45,home,21.3,1,3.57,10,0.136,0,wallet,standard,mobile,13.87,4,0
35190,21,2591.34,electronics,20.02,0,3.65,12,0.3278,0,upi,standard,tablet,11.52,6,1
18699,39,6132.64,electronics,18.49,0,3.34,6,0.0622,0,cod,express,desktop,24.46,5,0
73675,37,1247.42,beauty,24.58,0,3.25,8,0.0834,3,upi,standard,mobile,3.82,1,0
19355,44,283.99,toys,13.47,0,3.75,8,0.1655,0,wallet,standard,mobile,3.64,0,0
23038,45,424.58,beauty,27.62,1,3.7,12,0.1873,0,wallet,standard,mobile,6.76,2,0
60716,55,1612.53,apparel,34.25,1,2.07,6,0.1202,0,card,express,tablet,17.84,1,0
62576,26,529.74,sports,27.1,1,3.7,11,0.3068,0,upi,standard,mobile,7.82,2,1
44205,43,483.66,apparel,28.25,0,3.96,11,0.1884,1,cod,express,mobile,6.66,3,0
61346,51,1895.89,home,4.06,0,3.79,7,0.1721,1,card,express,mobile,4.22,1,0
27754,56,766.99,apparel,13.74,1,3.61,11,0.1441,0,card,express,desktop,5.46,2,0
70352,57,525.12,apparel,31.21,0,2.75,6,0.2204,0,card,standard,mobile,3.39,0,0
76826,54,183.91,toys,13.53,0,4.36,8,0.2842,0,wallet,standard,mobile,3.98,0,0
78620,35,807.91,sports,50.4,1,2.63,12,0.316,0,card,standard,desktop,6.99,1,0
42621,36,392.64,apparel,44.45,1,4.35,10,0.2327,3,netbanking,standard,mobile,16.62,1,0
27873,32,3279.74,electronics,27.88,1,4.4,8,0.3957,0,upi,standard,mobile,5.82,1,1
40368,39,1516.52,home,8.69,0,4.43,4,0.1791,1,upi,standard,tablet,11.04,1,0
31339,25,376.04,beauty,17.32,0,3.9,16,0.0628,1,cod,standard,mobile,15.73,1,0
13153,37,1611.3,electronics,26.05,0,3.59,9,0.1493,1,card,standard,mobile,8.54,1,0
68886,40,3155.1,electronics,12.56,0,4.74,5,0.0499,1,netbanking,standard,mobile,9.35,4,0
24500,36,499.43,apparel,50.18,1,3.96,8,0.1813,0,cod,standard,mobile,4.02,0,1
51403,40,1050.44,sports,3.92,0,3.16,9,0.125,1,upi,express,mobile,16.42,1,0
40475,30,150.0,apparel,33.21,0,4.37,10,0.337,1,card,standard,mobile,6.15,0,1
75151,54,7153.07,electronics,3.86,1,3.91,9,0.0709,0,upi,express,mobile,5.24,0,0
8318,41,917.79,sports,31.14,1,4.33,11,0.0347,1,cod,standard,mobile,4.62,1,0
68853,38,365.22,apparel,13.32,0,2.54,9,0.2421,2,upi,standard,desktop,7.06,1,1
48335,32,1175.0,sports,29.88,0,3.45,7,0.2206,3,upi,standard,desktop,5.37,3,0
53559,28,773.23,sports,9.88,0,4.91,9,0.3405,0,cod,standard,tablet,12.49,3,0
59514,26,315.94,toys,13.12,0,4.17,5,0.3875,2,card,standard,mobile,9.07,3,0
48816,31,1342.94,beauty,11.53,0,3.42,1,0.2147,1,cod,express,mobile,9.22,1,0
21880,51,267.28,beauty,32.92,0,4.11,6,0.161,0,cod,express,desktop,6.57,1,0
67678,36,2415.63,electronics,22.08,0,4.3,7,0.5762,1,cod,standard,mobile,6.15,0,1
279,35,517.46,sports,31.24,0,4.08,9,0.1444,0,netbanking,express,desktop,7.02,1,0
26822,33,520.75,beauty,25.14,0,4.72,13,0.1035,0,card,express,desktop,16.4,2,0
35432,37,2882.34,electronics,40.6,0,3.12,9,0.2215,2,upi,express,mobile,11.05,3,0
53560,37,7767.27,electronics,17.44,0,4.6,12,0.2918,1,wallet,express,desktop,6.23,2,0
45217,29,588.06,sports,10.05,1,3.81,9,0.1127,2,card,standard,mobile,3.25,1,0
41848,41,914.59,sports,3.37,0,4.61,13,0.0343,0,wallet,express,tablet,7.23,1,0
60148,44,1014.91,beauty,13.27,0,4.28,7,0.1588,0,netbanking,express,mobile,27.05,5,0
21910,22,494.87,apparel,13.75,0,4.17,11,0.1708,0,upi,standard,mobile,10.67,1,0
37533,29,190.64,apparel,7.67,0,4.06,7,0.2907,0,wallet,standard,desktop,8.78,3,1
17715,52,917.34,beauty,18.59,0,4.17,7,0.0679,0,upi,express,mobile,5.73,1,0
27481,27,204.85,toys,20.48,1,3.57,7,0.1187,1,card,standard,mobile,4.12,1,0
35971,24,272.36,toys,6.56,0,3.41,5,0.1337,1,netbanking,standard,mobile,3.81,0,0
29706,27,882.5,home,23.68,0,4.26,21,0.0519,2,cod,standard,mobile,4.54,0,0
46461,45,971.71,apparel,34.29,0,3.04,7,0.0816,1,card,standard,desktop,5.01,3,0
48670,44,272.57,toys,14.14,0,4.17,12,0.1746,1,upi,express,mobile,6.27,2,0
26349,30,262.37,apparel,15.36,1,4.71,8,0.2061,1,cod,express,mobile,16.15,6,0
56695,26,342.89,apparel,18.11,0,4.48,9,0.4019,0,card,express,desktop,12.38,6,1
76300,35,475.22,apparel,44.79,1,4.23,10,0.1209,0,card,standard,desktop,14.72,5,0
70892,51,430.32,beauty,25.7,0,4.05,4,0.5068,2,upi,standard,tablet,11.93,3,0
77551,27,1465.25,sports,17.34,1,4.31,7,0.024,2,wallet,standard,mobile,12.5,3,0
50405,32,956.14,sports,9.67,0,4.61,9,0.0659,0,wallet,standard,desktop,16.84,5,0
56199,33,2014.51,home,13.16,0,3.2,9,0.2308,2,wallet,standard,tablet,4.59,0,0
62380,50,2351.01,electronics,39.89,0,3.99,9,0.2038,1,wallet,standard,mobile,15.47,1,0
30138,18,2087.84,electronics,12.51,0,4.53,12,0.2302,0,cod,express,mobile,9.19,1,0
7109,28,4190.08,electronics,13.69,0,4.16,5,0.2212,3,netbanking,standard,mobile,12.46,4,0
46495,32,437.27,apparel,17.63,0,4.12,5,0.3112,0,netbanking,express,desktop,17.7,4,0
6793,46,586.85,beauty,21.93,0,4.39,8,0.2571,5,card,standard,mobile,18.26,2,1
34383,47,749.86,apparel,13.68,0,3.81,7,0.6147,0,card,express,mobile,12.91,1,1
35177,29,695.67,apparel,14.81,0,3.79,7,0.0754,2,card,standard,mobile,3.0,0,0
7432,46,752.31,beauty,12.63,0,3.0,6,0.1607,3,upi,standard,mobile,16.98,5,0
12401,32,976.39,beauty,34.48,0,3.98,10,0.1388,0,netbanking,standard,mobile,4.85,1,0
77524,38,1090.97,apparel,16.62,0,3.87,5,0.5357,0,wallet,express,mobile,23.54,3,1
20068,34,608.32,beauty,17.33,0,3.42,9,0.2219,1,card,standard,mobile,17.7,3,0
73443,26,1742.22,electronics,6.15,0,4.88,10,0.193,0,upi,express,desktop,6.16,2,0
51742,32,2473.69,home,8.18,0,4.58,5,0.1604,2,netbanking,standard,desktop,7.1,4,0
16175,54,337.15,toys,50.35,0,4.53,6,0.2448,0,cod,standard,mobile,10.84,2,0
10674,22,444.48,sports,22.59,0,4.74,6,0.1261,0,upi,standard,mobile,7.2,3,0
20276,37,471.5,apparel,6.97,0,3.36,9,0.2135,0,upi,express,mobile,15.32,0,0
26228,56,585.76,apparel,37.98,1,4.66,8,0.2338,4,upi,standard,desktop,5.79,1,1
47348,36,1677.86,home,25.81,1,4.65,5,0.1894,1,upi,express,mobile,9.53,0,0
3037,32,1412.49,beauty,37.09,1,4.41,7,0.2359,0,wallet,express,desktop,3.28,1,0
41019,40,820.19,beauty,6.05,0,4.0,7,0.2093,1,upi,standard,tablet,21.42,2,0
40251,28,2773.09,electronics,13.13,0,3.01,8,0.2889,1,card,standard,mobile,13.84,0,1
26091,37,615.85,apparel,5.03,0,4.54,7,0.1071,1,netbanking,standard,mobile,4.45,1,0
25606,34,2781.34,electronics,13.64,0,3.87,8,0.1452,0,netbanking,express,desktop,15.98,2,0
74909,21,2964.67,electronics,16.36,1,3.71,5,0.2467,0,netbanking,express,desktop,5.08,0,0
63711,20,4401.4,sports,15.26,0,3.8,7,0.29,0,upi,standard,mobile,8.15,3,0
11931,55,1391.34,sports,17.58,0,2.89,9,0.1362,0,wallet,standard,desktop,4.3,0,0
13610,35,6328.25,electronics,12.3,0,3.37,9,0.3285,1,netbanking,standard,desktop,4.09,0,1
70842,46,489.77,beauty,12.19,0,4.22,12,0.2493,2,card,standard,mobile,10.45,1,0
67326,40,898.53,sports,32.74,0,3.97,6,0.0268,0,card,standard,mobile,9.27,1,0
59763,39,695.75,apparel,4.89,0,4.85,7,0.0837,0,upi,express,tablet,2.1,1,0
2955,29,693.99,home,27.17,1,3.58,3,0.1967,0,wallet,express,mobile,4.8,3,0
34439,26,3765.17,electronics,15.77,0,4.07,6,0.3468,2,upi,standard,desktop,7.16,3,0
50040,21,4201.95,electronics,11.71,1,4.34,9,0.144,1,netbanking,standard,mobile,9.39,0,0
50053,33,3319.1,electronics,22.72,0,3.77,6,0.1031,4,upi,standard,tablet,12.69,4,0
48756,32,213.06,toys,6.6,0,4.28,10,0.3976,0,card,express,desktop,7.33,3,1
35684,18,153.99,apparel,36.24,0,4.48,5,0.2634,1,upi,standard,mobile,10.55,2,0
63562,65,647.81,apparel,38.53,0,4.78,3,0.3433,0,cod,standard,desktop,15.49,5,1
77016,47,703.6,beauty,6.7,0,3.34,13,0.4173,1,netbanking,standard,mobile,15.14,2,0
67961,63,660.04,apparel,12.48,0,3.97,8,0.1088,4,upi,standard,desktop,9.39,2,0
21528,50,1090.3,sports,35.4,0,3.98,12,0.068,3,wallet,standard,desktop,28.27,5,0
49839,36,1779.46,electronics,15.33,0,4.25,4,0.1085,1,card,standard,mobile,11.14,4,0
45670,29,573.36,apparel,5.69,1,4.05,10,0.163,1,upi,standard,mobile,8.89,1,0
58045,50,1294.29,toys,36.7,0,2.19,6,0.1765,2,cod,standard,mobile,3.92,0,1
20976,21,810.7,sports,24.44,1,4.2,15,0.1606,1,cod,standard,mobile,6.93,0,0
56340,46,625.7,apparel,11.15,1,4.02,10,0.2342,1,upi,standard,desktop,7.19,0,0
26102,26,1074.74,sports,32.13,1,3.52,7,0.2838,1,cod,standard,tablet,6.35,0,0
39088,53,448.13,beauty,29.06,1,4.78,12,0.1779,0,upi,standard,mobile,7.4,1,0
62835,58,696.42,apparel,14.2,0,4.86,8,0.417,1,card,express,tablet,15.93,1,1
76669,34,869.13,home,31.96,1,3.78,6,0.0882,2,card,standard,desktop,3.11,0,0
19549,21,1112.51,home,10.32,0,4.14,7,0.1823,0,card,standard,desktop,8.81,3,0
62010,50,4635.59,electronics,33.08,0,3.46,8,0.0646,0,upi,express,desktop,84.77,8,0
23331,18,415.98,apparel,30.07,0,4.74,6,0.2772,1,upi,standard,mobile,17.71,5,0
43768,37,7548.89,electronics,26.11,1,4.7,11,0.2298,0,upi,express,mobile,3.16,0,0
30450,52,457.08,beauty,37.29,1,4.65,12,0.4104,2,wallet,standard,desktop,24.89,3,1
16277,32,991.0,apparel,9.71,0,3.88,7,0.1268,1,card,express,mobile,14.71,2,0
65313,33,1028.89,beauty,31.85,1,3.99,3,0.1537,0,upi,standard,mobile,5.7,0,0
4249,54,924.31,apparel,20.61,0,3.99,9,0.1714,4,upi,standard,mobile,8.89,1,1
41083,38,1442.13,apparel,24.13,0,4.03,5,0.5346,3,card,standard,mobile,14.06,1,1
74608,26,210.99,toys,15.97,0,3.56,6,0.1425,5,netbanking,standard,mobile,7.16,1,0
2969,43,1179.87,home,5.31,0,3.62,13,0.2641,2,card,standard,desktop,9.82,3,0
38176,51,658.72,apparel,17.88,0,4.45,6,0.033,1,card,standard,mobile,3.64,1,0
55180,35,1568.26,home,3.97,0,3.01,6,0.1522,1,wallet,standard,mobile,13.21,2,0
52064,57,3333.72,home,3.55,1,3.5,4,0.2049,0,cod,express,mobile,2.06,1,0
75580,59,284.08,toys,19.35,1,3.72,12,0.3959,1,card,standard,mobile,8.71,1,1
21686,35,213.19,toys,20.01,0,3.8,5,0.1539,0,upi,express,mobile,2.65,0,1
56030,70,2736.67,electronics,15.89,0,3.3,8,0.3107,3,upi,standard,mobile,7.17,0,0
60457,36,705.75,apparel,2.57,0,3.86,3,0.5601,2,netbanking,standard,tablet,5.72,0,1
76750,41,1953.37,home,29.3,0,3.3,3,0.2389,0,card,express,mobile,13.13,2,0
10849,21,1016.76,sports,23.17,1,3.23,7,0.1521,1,card,standard,mobile,2.96,0,0
324,49,875.99,home,20.52,1,3.46,6,0.2497,0,cod,express,mobile,8.6,0,0
18776,19,7125.14,electronics,21.24,1,4.15,8,0.0976,1,netbanking,standard,mobile,12.29,2,0
46458,42,643.73,home,6.67,1,4.27,7,0.3509,0,upi,express,desktop,15.06,2,0
38954,44,303.17,toys,11.06,1,3.14,7,0.1649,0,card,express,mobile,6.15,2,0
